Política,Costo Total ($),WIP Esperado (bot),Prod. Terminado Esperado (bot),Backorders Esperados (bot),Set-ups Esperados (#),Tiempo Ejecución (s)
Postergación,617164.2666666663,60661.42666666664,0.0,0.0,13.699999999999994,0.037999868392944336
Contra Pedido (MTO),827047836.6300005,0.0,55080.44199999989,55080.44200000004,10.0,0.0009999275207519531
Contra Stock (MTS),1918302.3999999992,0.0,126976.82666666662,0.0,9.1,0.014000177383422852
